IPO_date,IPO_number
2010/12/3,17000000.00 
2010/12/3,18500000.00 
2010/12/7,50000000.00 
2010/12/7,22100000.00 
2010/12/7,29000000.00 
2010/12/7,17600000.00 
2010/12/10,16000000.00 
2010/12/10,37000000.00 
2010/12/10,26670000.00 
2010/12/10,40000000.00 
2010/12/17,22600000.00 
2010/12/17,67000000.00 
2010/12/24,50000000.00 
2010/12/24,37000000.00 
2010/12/24,40000000.00 
2010/12/31,34000000.00 
2010/12/31,52000000.00 
2010/12/31,20000000.00 
2010/12/31,35000000.00 
2011/1/10,41000000.00 
2011/1/11,51200000.00 
2011/1/11,24000000.00 
2011/1/10,25000000.00 
2011/1/18,38000000.00 
2011/1/18,42000000.00 
